year	month	sday	quarter	mean	std	min	25%	50%	75%	max
2015	7	1	4	14359.836734693878	1000.0250939813261	12192.0	13432.0	14944.0	15200.0	15488.0
2015	7	3	3	14575.281632653061	1156.4923818920608	12128.0	13632.0	14848.0	15616.0	16064.0
2015	7	3	4	13519.673469387755	1236.7439365632042	9984.0	12672.0	13568.0	14528.0	16032.0
2015	7	4	1	13422.10612244898	1400.0916381613192	10464.0	12448.0	13600.0	14528.0	16096.0
2015	7	4	2	10936.685714285713	1336.3014482727083	8160.0	9920.0	10848.0	11840.0	14688.0
2015	7	4	3	11126.33469387755	1391.1082864285186	8224.0	10016.0	10944.0	12192.0	14368.0
2015	7	25	3	13817.338775510205	1727.7478670621588	10432.0	12320.0	13952.0	15488.0	16608.0
2015	8	3	1	13462.857142857143	2130.544844243682	9216.0	12000.0	13280.0	15488.0	16608.0
2015	8	3	2	10750.302040816327	2432.374699524985	7072.0	8768.0	10016.0	12640.0	16640.0
2015	8	3	3	8790.530612244898	705.4933782470196	6752.0	8376.0	8768.0	9160.0	11648.0
2015	8	3	4	9000.620408163266	773.4512014711784	6880.0	8480.0	8960.0	9504.0	11648.0
2015	8	8	1	11388.57142857143	1113.538577734316	9888.0	10560.0	11040.0	11872.0	15008.0
2015	8	8	2	11900.995918367347	1404.4976422310049	9600.0	10720.0	11712.0	12736.0	15200.0
2015	8	8	3	12303.836734693878	1167.933109200488	10304.0	11360.0	12160.0	13136.0	14592.0
2015	8	8	4	12748.538775510204	1103.5463713760212	10144.0	11904.0	12640.0	13760.0	14816.0
2015	8	10	1	9208.816326530612	1538.4085772987733	7136.0	8160.0	8720.0	9768.0	14976.0
2015	8	10	2	10144.391836734694	1956.3026627109136	7808.0	8608.0	9504.0	11264.0	14976.0
2015	8	10	3	10378.448979591836	1767.0127544267034	7968.0	8920.0	9760.0	11584.0	14464.0
2015	8	10	4	10768.06530612245	1731.005581616212	8000.0	9312.0	10464.0	11936.0	14656.0
2015	8	11	1	10641.632653061224	741.0679111792602	9312.0	10080.0	10528.0	11072.0	13664.0
2015	8	11	2	11343.41224489796	1513.065343960845	8960.0	10176.0	10816.0	12032.0	15040.0
2015	8	11	3	11234.612244897959	1669.4360026139523	8384.0	9784.0	11056.0	12832.0	14688.0
2015	8	11	4	11459.787755102041	1832.1492585450435	8512.0	9728.0	11520.0	13152.0	14432.0
2015	8	12	1	13496.163265306122	1173.7664354558008	11040.0	12352.0	13952.0	14496.0	15040.0
2015	8	12	2	13304.816326530612	1459.7015144226445	10240.0	11840.0	13440.0	14624.0	15520.0
2015	8	12	3	13212.244897959185	1490.0904881229014	10272.0	11792.0	13168.0	14752.0	15552.0
2015	8	12	4	13303.379591836734	1493.0781957962306	10336.0	11840.0	13376.0	14816.0	15392.0
2015	8	16	1	14005.061224489797	1099.8094456519088	11680.0	12840.0	14480.0	14792.0	15648.0
2015	8	26	4	14400.0	1478.712898400983	11232.0	12880.0	14640.0	15816.0	16544.0
2015	8	27	2	10420.244897959185	1716.340498484345	7616.0	8960.0	9984.0	11616.0	14880.0
2015	8	27	3	12248.979591836734	2882.3362069400905	7200.0	9816.0	11952.0	14816.0	16864.0
